Id,Type,Code,Name,Status,IsPrgCreatedDate,IsPrgUpdatedDate,IsPrgCreatedUserId,IsPrgUpdatedUserId
103,NULL,NULL,xô tròn đen,1,2018-10-18 18:18:47.163,NULL,5,NULL
104,NULL,NULL,kiện tem,1,2018-10-18 19:40:06.060,NULL,5,NULL
105,NULL,NULL,bao tạ,1,2018-10-19 18:16:56.050,NULL,5,NULL
106,NULL,NULL,kiện nẹp,1,2018-10-19 18:55:08.120,NULL,5,NULL
107,NULL,NULL,xô tròn,1,2018-10-19 19:41:34.467,NULL,5,NULL
108,NULL,NULL,xô tròn nhỏ,1,2018-10-19 19:41:41.757,NULL,5,NULL
109,NULL,NULL,bao vỏ xô,1,2018-10-19 19:41:49.820,NULL,5,NULL
110,NULL,NULL,kiện chai,1,2018-10-19 20:00:52.330,NULL,5,NULL
111,NULL,NULL,bao nhẹ,1,2018-10-19 20:27:03.693,NULL,5,NULL
112,NULL,NULL,hộp nhỏ,1,2018-10-20 17:04:17.330,NULL,5,NULL
113,NULL,NULL,kiện lớn,1,2018-10-20 18:22:27.157,NULL,5,NULL
114,NULL,NULL,kiện sắt dài,1,2018-10-21 12:56:30.550,NULL,5,NULL
115,NULL,NULL,vali,1,2018-10-21 13:21:52.300,NULL,5,NULL
116,NULL,NULL,mẫu balo,1,2018-10-21 13:36:25.393,NULL,5,NULL
117,NULL,NULL,hộp giấy,1,2018-10-23 16:03:20.040,NULL,5,NULL
118,NULL,NULL,cây bạt,1,2018-10-23 16:18:23.483,NULL,5,NULL
119,NULL,NULL,thùng tròn lớn,1,2018-10-23 19:13:14.073,NULL,5,NULL
120,NULL,NULL,kiện mẫu,1,2018-10-27 18:36:40.097,NULL,10,NULL
121,NULL,NULL,rổ,1,2018-10-29 12:06:41.007,NULL,5,NULL
122,NULL,NULL,đế nhựa,1,2018-10-30 17:40:08.140,NULL,5,NULL
123,NULL,NULL,mẫu da,1,2018-11-03 15:00:25.917,NULL,3,NULL
124,NULL,NULL,mẫu,1,2018-11-03 15:38:14.200,NULL,3,NULL
125,NULL,NULL,xô nhựa trắng,1,2018-11-05 12:10:56.593,NULL,5,NULL
126,NULL,NULL,xe đẩy,1,2018-11-06 16:46:52.453,NULL,5,NULL
127,NULL,NULL,bình bọt tuyết,1,2018-11-08 18:01:55.823,NULL,3,NULL
128,NULL,NULL,can nhỏ,1,2018-11-09 15:24:30.163,NULL,5,NULL
129,NULL,NULL,kiện dài,1,2018-11-09 15:24:39.217,NULL,5,NULL
130,NULL,NULL,khung sắt,1,2018-11-09 17:31:53.750,NULL,5,NULL
131,NULL,NULL,loa đứng,1,2018-11-11 16:47:48.397,NULL,5,NULL
132,NULL,NULL,két sắt,1,2018-11-11 16:48:39.147,NULL,5,NULL
133,NULL,NULL,kiện nẹp dài,1,2018-11-14 16:21:25.420,NULL,5,NULL
134,NULL,NULL,xô nhỏ,1,2018-11-15 19:52:10.670,NULL,5,NULL
135,NULL,NULL,cây dài,1,2018-11-17 15:37:04.227,NULL,5,NULL
136,NULL,NULL,ống dài,1,2018-11-17 17:02:16.553,NULL,5,NULL
137,NULL,NULL,thùng xanh,1,2018-11-17 17:26:52.470,NULL,5,NULL
138,NULL,NULL,thùng lẻ,1,2018-11-21 17:24:29.740,NULL,5,NULL
139,NULL,NULL,thùng nhựa,1,2018-11-26 11:59:54.993,NULL,5,NULL
140,NULL,NULL,hộp lớn,1,2018-11-27 17:38:08.050,NULL,5,NULL
141,NULL,NULL,hộp nhỏ,0,2018-11-27 17:38:16.037,2018-11-27 17:39:16.673,5,5
142,NULL,NULL,thùng sắt tròn,1,2018-12-04 16:38:19.783,NULL,5,NULL
143,NULL,NULL,cánh cửa,1,2018-12-05 18:48:29.097,NULL,5,NULL
144,NULL,NULL,can vuông,1,2018-12-11 15:09:45.693,NULL,5,NULL
145,NULL,NULL,kiện đen nhỏ,1,2018-12-11 15:24:17.940,NULL,5,NULL
146,NULL,NULL,thùng nhẹ,1,2018-12-11 16:12:26.267,NULL,5,NULL
147,NULL,NULL,thùng thoi,1,2018-12-16 15:29:54.063,NULL,5,NULL
148,NULL,NULL,can tròn,1,2018-12-18 16:33:40.080,NULL,5,NULL
149,NULL,NULL,kệ,1,2018-12-22 17:55:20.367,NULL,5,NULL
150,NULL,NULL,kiện đỏ,1,2018-12-23 11:59:18.543,NULL,5,NULL
151,NULL,NULL,giỏ máy,1,2018-12-24 14:19:56.380,NULL,5,NULL
152,NULL,NULL,thiệp,1,2018-12-27 18:44:54.937,NULL,5,NULL
153,NULL,NULL,kiện tròn,1,2018-12-29 16:54:19.617,NULL,5,NULL
154,NULL,NULL,c ngời 0888700002,1,2019-01-04 09:58:41.513,NULL,3,NULL
155,NULL,NULL,kiện giấy nhỏ,1,2019-01-04 16:53:59.630,NULL,5,NULL
156,NULL,NULL,Miếng,1,2019-01-10 12:50:13.813,NULL,5,NULL
157,NULL,NULL,xe kệ,1,2019-01-15 18:36:42.910,NULL,5,NULL
158,NULL,NULL,xô nhựa lớn,1,2019-01-17 15:39:17.730,NULL,5,NULL
159,NULL,NULL,xô nhựa,1,2019-01-26 11:27:04.160,NULL,5,NULL
160,NULL,NULL,thùng nặng,1,2019-01-28 12:16:56.440,NULL,5,NULL
161,NULL,NULL,giỏ nhỏ,1,2019-01-29 18:40:36.823,NULL,5,NULL
162,NULL,NULL,Chậu,1,2019-01-29 22:19:40.713,NULL,3,NULL
163,NULL,NULL,xô nhựa nhỏ,1,2019-02-01 14:41:34.200,NULL,5,NULL
164,NULL,NULL,bình,1,2019-02-02 12:07:15.330,NULL,5,NULL
165,NULL,NULL,Cao Thành Nam - 0979842227,1,2019-03-12 12:56:23.650,NULL,3,NULL
166,NULL,NULL,thùng giấy lớn,1,2019-03-25 17:09:26.673,NULL,3,NULL
167,NULL,NULL,bicycle,1,2019-03-25 17:10:40.497,NULL,3,NULL
168,NULL,NULL,kiện trung,1,2019-04-05 16:16:04.160,NULL,3,NULL
169,NULL,NULL,xấp giấy,1,2019-05-06 16:19:36.063,NULL,3,NULL
170,NULL,NULL,vỏ xe,1,2019-05-08 20:23:56.667,NULL,3,NULL
171,NULL,NULL,sokheng Bun - 0976919999,1,2019-05-10 12:02:16.207,NULL,3,NULL
172,NULL,NULL,mạch bo,1,2019-05-23 14:53:59.810,NULL,3,NULL
173,NULL,NULL,thùng thiếc,1,2019-06-22 17:14:00.270,NULL,3,NULL
174,NULL,NULL,hộp dài,1,2019-08-08 20:03:41.507,NULL,3,NULL
175,NULL,NULL,thùng dài lớn,1,2019-08-23 16:13:14.283,2019-08-24 11:20:52.070,3,3
176,NULL,NULL,thùng dẹp,1,2019-08-26 16:57:40.167,NULL,3,NULL
177,NULL,NULL,kiện ba,1,2019-08-31 14:30:11.567,NULL,3,NULL
178,NULL,NULL,vỏ can,1,2019-09-24 13:59:44.227,NULL,3,NULL
179,NULL,NULL,thùng giấy nhỏ,1,2019-10-05 12:47:16.737,NULL,6,NULL
180,NULL,NULL,thùng đại,1,2019-10-09 13:08:03.183,NULL,5,NULL
181,NULL,NULL,kiện nhẹ,1,2019-10-10 16:13:41.127,NULL,3,NULL
182,NULL,NULL,thùng vừa,1,2019-10-19 15:35:02.890,NULL,3,NULL
183,NULL,NULL,thùng thiếc tròn,1,2019-10-22 21:08:28.270,NULL,6,NULL
