Id,Type,Code,Name,KieuSo,KieuSo1,KieuSo2,KieuSo3,KieuChu,KieuChu1,KieuChu2,KieuChu3,KieuNgay,KieuNgay1,Status,IsPrgCreatedDate,IsPrgUpdatedDate,IsPrgCreatedUserId,IsPrgUpdatedUserId
391,NULL,NULL,PP 25x39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-14 15:02:29.743,NULL,5,NULL
392,NULL,NULL,PP 25x39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-14 15:02:36.243,NULL,5,NULL
393,NULL,NULL,PE đen 8x15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-14 15:13:17.137,NULL,5,NULL
394,NULL,NULL,PE Zin 9x18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-14 15:35:00.770,NULL,5,NULL
395,NULL,NULL,QX in 30x45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-15 10:06:45.530,NULL,5,NULL
396,NULL,NULL,PE zin 8x15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-15 10:37:44.657,NULL,5,NULL
397,NULL,NULL,Zin 4x8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-15 10:53:46.847,NULL,5,NULL
398,NULL,NULL,Zin 8x15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-15 10:59:00.920,NULL,5,NULL
399,NULL,NULL,Zin 9x18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-15 11:00:26.377,NULL,5,NULL
400,NULL,NULL,Zin 5x9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-15 11:02:52.373,NULL,5,NULL
401,NULL,NULL,Zin 14x24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-15 11:04:01.493,NULL,5,NULL
402,NULL,NULL,Zin 6x14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-15 11:04:55.153,NULL,5,NULL
403,NULL,NULL,PE đen 12x20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-16 13:56:43.450,NULL,5,NULL
404,NULL,NULL,QX PE 40x60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-16 14:07:28.453,NULL,5,NULL
405,NULL,NULL,QX PE 40x60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-16 14:07:39.540,NULL,5,NULL
406,NULL,NULL,"OPP 13,3x27",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-16 14:11:09.077,NULL,5,NULL
407,NULL,NULL,"OPP 12,8x27",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2020-02-16 14:12:17.907,NULL,5,NULL
